Node_ID          x          y          z
    241   2.124626   6.656006   1.100286
    242   3.333774   6.621705   3.265209
    243   3.092929   2.833486   0.772636
    244   0.248234   4.143090   2.389470
    245   6.589895   0.706834   3.435279
    246   4.732191   3.236295   5.883420
    247   1.516202   2.408725   3.080052
    248   5.288147   0.853686   4.161575
    249   1.259428   5.005894   5.997091
    250   6.405167   0.712761   2.863140
    251   2.947078   5.003726   6.619920
    252   5.569176   5.081798   3.650837
    253   6.145266   3.109082   1.541846
    254   6.421090   2.228246   4.666709
    255   4.725388   2.672637  -0.084924
    256   4.338615   1.442996   2.118814
    257   2.271203   1.502659   1.068713
    258   4.476334   5.439200   6.185813
    259   3.807325   1.150943   1.148745
    260   6.492692   3.396265   3.302021
    261   0.461816   3.749934   5.181447
    262   1.658559   1.517813   3.800641
    263  -0.203441   1.952006   4.436992
    264   1.438811   7.210294   1.872513
    265   2.784223   3.524064   5.293830
    266   5.503597   3.494349   7.250406
    267   3.869336   2.453339   0.501920
    268   4.757487   6.326068   2.654958
    269   1.569698   3.026253   5.096960
    270   1.198029   3.574039   2.808155
    271   7.068400   0.306920   0.724460
    272   3.443441   1.856028   4.481563
    273   0.487466   2.245571   3.568659
    274   2.838162   0.697396   5.112681
    275   3.839876   0.433716   5.451021
    276   3.139562   4.609167   3.507498
    277   4.817398   4.990696   2.845732
    278   6.295253   5.840784   2.132971
    279   3.922661   5.907205   5.839488
    280   4.405094   4.370224   1.236764
    281   0.641835   4.907402   0.071133
    282   4.273894   7.182906   4.995076
    283   0.788970   4.652400   3.456278
    284   2.887541   0.805471   2.884071
    285   0.358405   6.471510   4.576345
    286   6.433302   2.882339   2.914023
    287   5.798743   5.272878   3.171628
    288   0.498946   2.998061   4.751762
    289   3.332039   4.386478   3.783997
    290   0.203960   6.124651   0.963828
    291   2.955196   5.779063   6.395156
    292   0.714539   1.518820   4.072828
    293   4.692528   0.136225   0.759879
    294   5.050685   3.699247   5.137530
    295  -0.155438   4.026990   4.222030
    296   1.682721   6.473464   2.643071
    297   7.333749   5.229372   6.970517
    298   6.205814   6.229484   2.961376
    299   6.452444   4.168730   0.643791
    300   0.813544   0.200070   5.041391
    301   1.787711   5.347242   3.654314
    302   5.128742   5.957439   3.422354
    303   6.177609   6.887141   4.895327
    304   5.161999   4.974090   1.625367
    305   6.957470   6.465302   2.360275
    306   4.327590   1.890039   3.699953
    307   1.828550   2.515677   0.439117
    308   6.086811   4.643479   5.939918
    309   0.978274   4.986957   1.906493
    310   5.170974   6.382460   4.848909
    311   1.645865   2.372091   7.245603
    312   6.360924   2.671171   5.181167
    313   4.112983   3.022342   1.975008
    314   6.026526   6.456372   0.337643
    315   2.795220   5.866410   3.540226
    316   1.356248   3.009505   2.317935
    317   6.436264   5.104936   0.194785
    318   1.364109   5.612374   2.813248
    319   6.247240   4.164208   6.298465
    320   0.859218   3.800940   2.024132
    321   1.688816   5.784520   5.997398
    322   0.570424   3.476829   3.366669
    323   4.508216   2.172084   2.958732
    324   6.313446   4.861989   2.887566
    325   1.507948   1.470962   0.926538
    326   5.409150   3.188571   0.223863
    327   2.040720   6.030054   4.536342
    328   5.995192   7.317170   3.367007
    329   3.332579   0.314340   1.865194
    330   6.787297   2.083452   0.550553
    331   6.843473   6.266848   0.076449
    332   3.859923   5.408549   2.309987
    333   6.417495   4.031875   1.938453
    334   0.674284   1.106419   3.369557
    335   1.724516   3.155819   2.086002
    336   0.007316   1.499833   6.742652
    337   3.701834   0.655969   2.222569
    338   7.222978   6.270621   1.347446
    339   1.517529   2.169604   4.904982
    340   0.697807   2.242753   6.040520
    341   4.633897   2.371545   3.158129
    342   3.749859   6.864588   2.621931
    343   1.652193   0.567110   4.022412
    344   1.527253   3.325390   5.952732
    345   3.553860   2.218553   1.710323
    346   3.274688   4.150352   7.084350
    347   6.453093   0.819605   5.503902
    348   1.853235   4.718169   0.547160
    349   6.135146   2.278812   6.882761
    350   5.273754   3.751740   4.947936
    351   0.134214   5.276718   0.805335
    352   0.726949   6.727925   0.963795
    353   3.147846   5.401215   2.637718
    354   2.140373   6.969496   5.049269
    355   1.616222   6.661376   0.176627
    356   2.428387   5.644544   1.950942
    357   4.994087   1.496106   4.677126
    358   3.778322   5.673482   1.063697
    359   3.056798   1.746920   0.837100
    360   6.296137   2.991039   5.549594
    361   2.537793   1.521122   5.706019
    362   3.668910   3.263131   4.038637
    363   2.888013   5.797093   1.004775
    364   1.958419   6.714557   0.935757
    365   5.534839   2.817662   2.583009
    366   0.229225   6.930783   1.936384
    367   2.438112   3.623897   3.164963
    368   4.491794   4.344048   1.243225
    369   5.867396   1.485565   2.810240
    370   5.933005   0.980739   0.998663
    371   2.978209   0.021219   3.742602
    372   5.252329   4.621880   6.565751
    373   5.710268   1.306406   6.941819
    374   2.298655   7.588221   6.595383
    375   3.283221   6.620521   5.238844
    376   3.592416   0.266944   6.553985
    377   5.215008   4.345408   4.110527
