Bond_ID         l0         kb
    393   1.349375   0.860862
    394   0.516103   1.391977
    395   0.555030   1.342276
    396   0.378769   1.624847
    397   0.818569   1.105280
    398   0.775848   1.135303
    399   0.472511   1.454769
    400   0.285193   1.872538
    401   0.724363   1.174957
    402   0.387780   1.605859
    403   0.781924   1.130883
    404   1.582134   0.795020
    405   0.631719   1.258166
    406   1.828205   0.739584
    407   0.830755   1.097144
    408   0.900746   1.053656
    409   0.723297   1.175822
    410   0.437907   1.511155
    411   0.715694   1.182051
    412   0.414281   1.553648
    413   0.766227   1.142408
    414   1.018785   0.990738
    415   0.609031   1.281387
    416   0.594799   1.296626
    417   1.153694   0.931011
    418   1.802944   0.744747
    419   0.537361   1.364165
    420   0.468542   1.460918
    421   0.558173   1.338492
    422   0.487125   1.432781
    423   0.899976   1.054106
    424   1.118636   0.945487
    425   0.400177   1.580789
    426   0.983868   1.008165
    427   0.504243   1.408251
    428   0.846043   1.087186
    429   0.929416   1.037278
    430   0.557827   1.338907
    431   0.326934   1.748920
    432   0.569849   1.324708
    433   1.846087   0.735993
    434   0.401148   1.578875
    435   0.355946   1.676131
    436   0.949072   1.026480
    437   0.684678   1.208528
    438   0.487465   1.432281
    439   0.501034   1.412753
    440   1.000488   0.999756
    441   1.128016   0.941548
    442   0.297171   1.834411
    443   0.755756   1.150295
    444   0.424457   1.534910
    445   0.514279   1.394443
    446   0.595513   1.295849
    447   0.587527   1.304627
    448   0.672786   1.219163
    449   0.557882   1.338841
    450   1.567654   0.798684
    451   0.456808   1.479561
    452   1.240982   0.897671
    453   1.562894   0.799899
    454   0.944162   1.029146
    455   1.063651   0.969618
    456   0.588660   1.303370
    457   1.033831   0.983502
    458   0.951563   1.025135
    459   0.833834   1.095116
    460   1.192198   0.915853
    461   0.372553   1.638348
    462   0.435273   1.515720
    463   0.619711   1.270297
    464   0.620146   1.269852
    465   0.381206   1.619645
    466   1.146954   0.933742
    467   0.638590   1.251380
    468   0.866466   1.074297
    469   0.802906   1.116009
    470   0.372699   1.638026
    471   1.037453   0.981784
    472   2.257251   0.665595
    473   0.570478   1.323978
    474   1.483782   0.820947
    475   0.585950   1.306380
    476   0.494494   1.422066
    477   0.508233   1.402712
    478   1.209983   0.909097
    479   0.732526   1.168392
    480   1.370909   0.854074
    481   1.289689   0.880557
    482   1.125480   0.942608
    483   0.680475   1.212255
    484   0.936190   1.033518
    485   0.923710   1.040476
    486   1.090714   0.957513
    487   0.558104   1.338574
    488   1.181888   0.919839
    489   0.866030   1.074567
    490   0.817503   1.106001
    491   0.768011   1.141080
    492   0.834892   1.094422
    493   1.447880   0.831063
    494   0.559665   1.336706
    495   0.657948   1.232833
    496   0.496152   1.419687
    497   2.019798   0.703633
    498   0.779146   1.132898
    499   0.873997   1.069658
    500   0.747732   1.156451
    501   0.592404   1.299245
    502   0.935952   1.033650
    503   0.555180   1.342095
    504   0.958689   1.021318
    505   0.610705   1.279629
    506   0.615776   1.274350
    507   0.500939   1.412887
    508   1.349417   0.860849
    509   0.527665   1.376641
    510   0.798488   1.119092
    511   1.457622   0.828281
    512   0.374957   1.633086
    513   0.708676   1.187890
    514   1.279877   0.883926
    515   0.369931   1.644144
    516   0.497447   1.417837
    517   0.306883   1.805152
    518   0.745225   1.158394
    519   1.533989   0.807400
    520   0.685497   1.207806
    521   4.369241   0.478406
    522   0.461530   1.471973
    523   0.558517   1.338080
    524   0.531592   1.371548
    525   0.578637   1.314610
    526   0.797238   1.119969
    527   0.654619   1.235963
    528   1.149957   0.932522
    529   0.709199   1.187452
    530   0.394138   1.592853
    531   0.398240   1.584629
    532   0.635115   1.254798
    533   0.349274   1.692065
    534   0.597755   1.293416
    535   0.509555   1.400891
    536   1.008809   0.995625
    537   0.587072   1.305131
    538   0.659820   1.231083
    539   0.575343   1.318368
    540   1.588402   0.793450
    541   0.485660   1.434940
    542   1.053307   0.974367
    543   0.681863   1.211020
    544   0.550231   1.348117
    545   0.589169   1.302807
    546   0.671138   1.220658
    547   1.074041   0.964916
    548   0.372607   1.638229
    549   0.801770   1.116799
    550   0.218994   2.136898
    551   1.203447   0.911563
    552   1.189556   0.916869
    553   0.786584   1.127528
    554   0.584674   1.307805
    555   0.497541   1.417705
    556   0.902266   1.052768
    557   0.482988   1.438905
    558   0.727528   1.172398
    559   0.949700   1.026141
    560   0.740154   1.162355
    561   0.787745   1.126697
    562   0.829128   1.098219
    563   0.449864   1.490937
    564   0.594886   1.296531
    565   1.108993   0.949589
    566   0.440065   1.507445
    567   0.376935   1.628796
    568   0.904527   1.051451
    569   0.447590   1.494719
    570   0.923299   1.040708
    571   1.069540   0.966944
    572   0.574811   1.318978
    573   0.674100   1.217974
    574   0.630748   1.259134
    575   0.543758   1.356116
    576   0.891523   1.059092
    577   0.908921   1.048907
    578   1.370486   0.854206
    579   0.672013   1.219863
    580   0.792016   1.123655
    581   1.245066   0.896198
    582   0.433749   1.518381
    583   0.703391   1.192344
    584   0.502554   1.410616
    585   0.306833   1.805298
    586   0.333235   1.732306
    587   0.395926   1.589253
    588   0.566347   1.328797
    589   1.043237   0.979058
    590   0.343628   1.705908
    591   0.233017   2.071600
    592   0.422778   1.537955
    593   1.160766   0.928170
    594   0.621905   1.268054
    595   0.861534   1.077367
    596   0.815050   1.107663
    597   1.493042   0.818397
    598   0.891593   1.059051
    599   0.370620   1.642614
    600   0.411036   1.559769
    601   0.260809   1.958119
    602   0.909636   1.048495
    603   1.465342   0.826096
    604   0.527974   1.376239
    605   0.763290   1.144604
    606   0.548535   1.350199
    607   0.479440   1.444218
    608   1.031603   0.984564
    609   0.755764   1.150289
    610   0.617674   1.272390
    611   0.421067   1.541076
    612   0.756515   1.149718
    613   0.541506   1.358934
    614   0.595931   1.295394
    615   0.552604   1.345219
    616   1.100869   0.953086
    617   0.556643   1.340329
    618   0.506758   1.404752
    619   0.349367   1.691839
    620   0.637296   1.252649
    621   0.760540   1.146671
    622   0.571258   1.323073
    623   0.799898   1.118106
    624   1.220489   0.905176
    625   1.007878   0.996084
    626   0.934944   1.034206
    627   0.522760   1.383086
    628   0.958264   1.021545
    629   0.522108   1.383948
    630   0.724854   1.174559
    631   1.284405   0.882366
    632   1.586033   0.794043
    633   0.821122   1.103560
    634   0.975919   1.012263
    635   0.603066   1.287709
    636   0.785902   1.128018
    637   0.693160   1.201111
    638   0.741371   1.161401
    639   0.758020   1.148576
    640   0.543493   1.356447
    641   0.878690   1.066798
    642   1.642654   0.780238
    643   1.102368   0.952438
    644   0.417859   1.546981
    645   0.825430   1.100677
    646   0.325329   1.753229
    647   0.574009   1.319899
    648   1.197493   0.913826
    649   0.418510   1.545778
    650   1.277806   0.884642
    651   0.820228   1.104162
    652   0.973415   1.013564
    653   1.071128   0.966227
    654   0.812078   1.109689
    655   0.637933   1.252023
    656   1.343281   0.862813
    657   0.325964   1.751521
    658   0.665266   1.226033
    659   0.439185   1.508955
    660   0.841605   1.090048
    661   0.396279   1.588545
    662   1.070914   0.966324
    663   0.284862   1.873625
    664   0.523727   1.381808
    665   1.069551   0.966939
    666   1.287118   0.881436
    667   0.592406   1.299243
    668   0.286880   1.867023
    669   0.842377   1.089549
    670   2.787627   0.598939
    671   0.433595   1.518651
    672   0.561039   1.335069
    673   1.071177   0.966205
    674   0.528483   1.375576
    675   0.542151   1.358125
    676   0.812269   1.109558
    677   0.358810   1.669429
    678   0.219741   2.133262
    679   0.270202   1.923783
    680   0.565587   1.329690
    681   0.689989   1.203868
    682   0.946562   1.027840
    683   0.303019   1.816625
    684   0.798905   1.118800
    685   1.619373   0.785826
    686   0.984945   1.007614
    687   0.358864   1.669303
    688   0.589394   1.302558
    689   1.054329   0.973895
    690   0.590311   1.301546
    691   1.118871   0.945388
    692   0.459863   1.474639
    693   0.882221   1.064661
    694   1.244656   0.896345
    695   0.927053   1.038599
    696   1.203674   0.911477
    697   0.720599   1.178021
    698   0.841152   1.090342
    699   3.267640   0.553201
    700   1.123760   0.943329
    701   0.754535   1.151225
    702   0.919321   1.042957
    703   0.650481   1.239889
    704   1.196363   0.914257
    705   0.191284   2.286443
    706   0.769417   1.140037
    707   0.683187   1.209847
    708   0.438483   1.510162
    709   0.574227   1.319648
    710   0.389194   1.602939
    711   0.295531   1.839494
    712   1.342883   0.862941
    713   0.859905   1.078387
    714   0.493277   1.423818
    715   0.867752   1.073500
    716   0.490349   1.428063
    717   0.382580   1.616736
    718   0.913214   1.046439
    719   0.923596   1.040540
    720   2.274446   0.663074
    721   0.439996   1.507564
    722   0.606645   1.283905
    723   0.407350   1.566809
    724   0.399685   1.581762
    725   0.344367   1.704078
