Time Step,Label Index,Name (NA),Volume (µm³),Equivalent Spherical Diameter (µm),Aspect Ratio,Center Of Mass X (µm),Center Of Mass Y (µm),Center Of Mass Z (µm),Sphericity
0,693,,445778698.1,947.7785955,1.049068768,18731.50112,17635.17728,5947.865273,0.916907344
0,694,,443330446.9,946.0403181,1.111811054,17818.32989,14480.82239,4279.260975,0.924038635
0,695,,438929223,942.8992522,1.04728993,14123.64161,20371.77309,11559.72119,0.959853497
0,696,,448452075.8,949.6694604,1.080771794,16437.24253,18591.69337,6494.705735,0.908493724
0,697,,443510548.2,946.1684092,1.039746801,20217.40825,17486.60511,9166.07668,0.938342715
0,698,,443555573.5,946.2004265,1.180382425,16610.43136,13468.95692,8497.123045,0.940093414
0,699,,456230197.9,955.128495,1.06829045,15061.18867,17334.84175,2904.846573,0.856143767
0,700,,441782702,944.9381031,1.050590181,17377.7524,19823.42273,12419.87433,0.944308547
0,701,,444945729.9,947.1878975,1.081636789,17610.0183,20016.30352,9773.514664,0.938707768
0,702,,451288670.3,951.6675685,1.094944778,16197.49361,16724.91817,5580.165563,0.905319519
0,703,,448029963.6,949.3714033,1.034885499,15734.92208,16587.58191,7483.636157,0.917705385
0,704,,444540502.1,946.9002644,1.145880997,20234.60383,18792.36356,10409.55208,0.941695598
0,705,,442030341.2,945.1146303,1.059795632,13913.86996,20102.33819,9471.106511,0.947819673
0,706,,479981048.3,971.4232401,1.601038467,20581.75566,18806.43928,6072.715541,0.8870897
0,707,,444855679.3,947.1239941,1.026894511,19131.63396,17808.58338,11056.33283,0.943055103
0,708,,455402857.9,954.5507938,1.322147318,17011.40139,18078.61663,11214.51246,0.930207615
0,709,,482356133.4,973.0228988,1.287907438,21131.01456,19234.65667,13781.72817,0.828219043
0,710,,449971680,950.7409199,1.049524341,16728.00822,16200.60206,6192.939264,0.912991726
0,711,,442598785.7,945.5195913,1.050304478,20307.28715,19084.20241,3532.667485,0.9230117
0,712,,445497289.9,947.5791177,1.064808613,19777.88369,15101.85433,9209.845306,0.938989803
0,713,,449543939.6,950.4395681,1.194464598,20143.91207,19574.47643,9908.726571,0.939588844
0,714,,446206438.5,948.0816409,1.05833237,15674.47223,17458.7552,11522.3246,0.940953659
0,715,,446662319.8,948.4044105,1.049534749,17742.35798,18640.76358,11409.00172,0.944168896
0,716,,442700092.6,945.5917261,1.055135371,13475.42471,15908.03334,11009.7165,0.94767282
0,717,,438974248.3,942.9314919,1.079787365,20178.31146,20902.1052,7943.81423,0.929242457
0,718,,447917400.3,949.2918898,1.049577921,17005.66048,15387.37925,9529.507701,0.936108697
0,719,,446245835.7,948.1095433,1.039058518,18543.77612,19950.1457,6290.187443,0.929730603
0,720,,449268159.5,950.2451742,1.137890005,18602.5316,19711.15866,9552.773928,0.929866123
0,721,,453320437.3,953.0936124,1.04669602,15372.39586,16529.02666,3473.212105,0.897528985
0,722,,445277791.6,947.4234667,1.074253414,19704.10495,18852.00781,12978.28182,0.951984869
0,723,,443296678,946.0162972,1.069492571,13417.16608,19118.22599,7902.373556,0.938324128
0,724,,449971680,950.7409199,1.119530181,19125.96585,19849.99316,7019.609192,0.92395868
0,725,,447821721.5,949.2242928,1.05942386,15289.40235,20141.35701,8277.204029,0.942384374
0,726,,442210442.4,945.2429723,1.059667624,15155.52866,21248.03207,12979.16481,0.956347029
0,727,,449341325.7,950.2967558,1.016478767,18694.31297,18651.95894,3617.900563,0.912670675
0,728,,444135274.3,946.6124564,1.079234415,20108.45861,20967.32896,12642.76727,0.95844229
0,729,,445249650.7,947.4035078,1.062560643,19710.25531,14087.52343,7213.630923,0.947187319
0,730,,447292674.1,948.8503475,1.103333215,18804.25121,20706.96747,5776.080764,0.912363734
0,731,,446099503.4,948.0058977,1.105947902,17526.20543,13420.124,8007.928556,0.936062119
0,732,,443172858.4,945.92821,1.075314274,13224.60424,18626.91284,13452.35051,0.956341194
0,733,,445328445,947.4593907,1.067205994,20655.30262,16959.13648,5765.013503,0.92792122
0,734,,446448449.6,948.2530151,1.091355341,16473.19269,14196.48637,14209.60051,0.94037825
0,735,,447264533.3,948.8304485,1.051127317,15870.97334,15881.10515,6023.016812,0.921295452
0,736,,444174671.5,946.6404454,1.082316339,14533.85669,14470.00093,11848.60099,0.949200835
0,737,,442165417.1,945.2108901,1.040980953,19988.46465,14232.82362,13829.89371,0.952411415
0,738,,450815904.5,951.3351331,1.099789746,18583.47272,15211.9227,8909.667186,0.93228121
0,739,,1160324721,1303.747957,3.802107933,20433.9192,18329.1909,2365.931841,0.210799049
0,740,,443341703.3,946.0483248,1.099738984,13111.55557,17818.46912,12915.74344,0.956055107
0,741,,443583714.3,946.2204362,1.094122268,13533.49335,15865.14409,10096.22235,0.935129324
0,742,,440161790.8,943.7810201,1.029953291,16933.76475,14485.63835,4575.195382,0.923193232
0,743,,447287046,948.8463678,1.100601517,20978.90307,17652.30044,12456.98034,0.945529182
0,744,,442368031,945.355243,1.071999416,21607.08229,18466.4304,8007.262618,0.933766735
0,745,,449234390.6,950.2213654,1.082636698,16134.12337,20703.80026,5485.504672,0.932143466
0,746,,453387975.3,953.1409423,1.026138645,17795.55529,15727.88854,8102.40285,0.925445915
0,747,,452419931.2,952.4620976,1.017092147,18204.11883,20095.8388,7165.339417,0.920348248
0,748,,449836604.1,950.6457768,1.07842865,16844.19622,17911.28084,12807.02661,0.944070109
0,749,,455138334.2,954.365939,1.365258287,17245.2908,21806.72628,9704.301592,0.930451804
0,750,,448412678.7,949.6416496,1.055749602,17888.46708,14279.75529,11009.11731,0.948365441
0,751,,453652499,953.3262724,1.089980788,19979.44922,18080.47269,6426.697228,0.928324244
0,752,,450973493.1,951.4459707,1.103504952,20060.28624,17837.67701,10857.86599,0.94261863
0,753,,766702214.9,1135.558115,3.023913178,19394.80863,20080.44041,2041.175708,0.125013245
0,754,,448452075.8,949.6694604,1.023171296,14764.27092,16662.71317,12283.81155,0.956138817
0,755,,448108757.8,949.4270548,1.06599079,17381.07736,19725.17468,14036.3396,0.962218285
0,756,,449397607.3,950.3364302,1.085307221,19537.08515,15327.92512,10804.62579,0.946400831
0,757,,448992379.5,950.0507007,1.155250544,13993.87939,16813.87358,13743.95139,0.951912934
0,758,,451547565.8,951.8495181,1.013410847,16567.03191,18636.54012,10509.4985,0.936653351
0,759,,448429563.2,949.6535687,1.057124116,18919.43547,20715.46702,8556.174028,0.939875331
0,760,,447377096.6,948.9100394,1.077125335,16988.97653,21616.02574,7538.833233,0.940467675
